# Reviewed production network-capability inventory.
#
# This is an explicit v1/legacy compatibility-debt list, not an assertion that
# each entry is safe for v2. Any addition or changed count must be reviewed.
# Entries are generated by TestProductionNetworkCapabilityInventory and sorted.
cmd/meshecho/main.go | newDemoEdgeBroker | reference:net.ListenUDP | count=2
cmd/meshecho/main.go | openTCPPair | reference:net.DialTimeout | count=1
cmd/meshecho/main.go | openTCPPair | reference:net.Listen | count=1
cmd/meshecho/main.go | runData | reference:net.DialTimeout | count=1
cmd/meshecho/main.go | runData | reference:net.Listen | count=1
cmd/wink-coordinator/main.go | run | reference:net.Listen | count=1
cmd/wink/cmd/doctor.go | defaultCoordinatorProbe | call:method.DialContext | count=1
cmd/wink/cmd/doctor.go | tcpFramedDialCheck | call:method.DialContext | count=1
cmd/wink/cmd/ping.go | newPingCmd.func | reference:net.DialTimeout | count=1
pkg/client/inband_control.go | listenInbandUDP | reference:net.ListenUDP | count=1
pkg/client/ping.go | listenPingUDP | reference:net.ListenUDP | count=1
pkg/coordinator/client/grpc.go | <init>.func | call:method.DialContext | count=1
pkg/dataplane/portforward/forward.go | <imports> | import:github.com/quic-go/quic-go | count=1
pkg/dataplane/portforward/forward.go | RunClient | call:method.Dial | count=1
pkg/dataplane/portforward/forward.go | RunClient | reference:net.Listen | count=1
pkg/dataplane/portforward/forward.go | RunServer | call:method.Listen | count=1
pkg/dataplane/portforward/forward.go | serveTargetStream | reference:method.DialContext | count=1
pkg/dataplane/routed/tcp_forward.go | *TCPForwarder.StartListenerWithPolicy | reference:net.Listen | count=1
pkg/dataplane/routed/tcp_forward.go | *TCPForwarder.handleOpen | reference:method.DialContext | count=1
pkg/meshruntime/api.go | startControlServer | reference:net.Listen | count=1
pkg/meshruntime/stream.go | *bootstrapConnectors.runPeer | call:method.DialContext | count=1
pkg/meshruntime/stream.go | startBootstrapServer | reference:net.Listen | count=1
pkg/nat/ice_pion.go | *icePionAgent.Connect | call:method.Dial | count=1
pkg/nat/ice_pion.go | <imports> | import:github.com/pion/ice/v2 | count=1
pkg/nat/ice_pion.go | <imports> | import:github.com/pion/stun | count=1
pkg/nat/ice_pion.go | publicDirectFixedPortMuxForConfig | reference:net.ListenUDP | count=1
pkg/nat/stun_probe.go | localIPForUDPRoute | reference:net.DialUDP | count=1
pkg/netif/tun_darwin_wg.go | createTUNInterface | reference:golang.org/x/sys/unix.Socket | count=1
pkg/netutil/udp_binding.go | ListenUDP4 | call:method.ListenPacket | count=1
pkg/netutil/udp_binding.go | ListenUDP4 | reference:net.ListenUDP | count=1
pkg/probe/lab/lab.go | runTCPCheck | call:method.DialContext | count=1
pkg/probe/lab/lab.go | runUDPListen | reference:net.ListenUDP | count=1
pkg/probe/lab/lab.go | runUDPSend | call:method.DialContext | count=1
pkg/relay/client/client.go | *Client.Allocate | call:method.Listen | count=1
pkg/relay/client/client.go | *Client.Allocate | reference:net.ListenPacket | count=1
pkg/relay/client/client.go | <imports> | import:github.com/pion/logging | count=1
pkg/relay/client/client.go | <imports> | import:github.com/pion/turn/v2 | count=1
pkg/relay/server/server.go | *Server.Start | reference:net.ListenPacket | count=1
pkg/relay/server/server.go | <imports> | import:github.com/pion/logging | count=1
pkg/relay/server/server.go | <imports> | import:github.com/pion/turn/v2 | count=1
pkg/solver/strategy/tcpframed/executor.go | *executor.executeListen | call:method.Listen | count=1
pkg/solver/strategy/tcpframed/executor.go | dialWithRetry | call:method.DialContext | count=1
test/e2e/netprobe/main.go | checkTCP | call:method.DialContext | count=1
test/e2e/netprobe/main.go | checkUDP | reference:net.DialTimeout | count=1
test/e2e/netprobe/main.go | serveTCP | reference:net.Listen | count=1
test/e2e/netprobe/main.go | serveUDP | reference:net.ListenUDP | count=1
